Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,
BUENOS AIRES,Ayacucho,Solanet,6042030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,27,27,
BUENOS AIRES,Ayacucho,Udaquiola,6042040,- 0,- 0,- 0,- 0,- 0,1,- 0,46,47,
BUENOS AIRES,Azul,Azul,6049020,2.424,13.430,51,56,65,2,- 0,1.145,17.173,
BUENOS AIRES,Azul,Cacharí,6049030,- 0,- 0,2,- 0,- 0,- 0,- 0,521,523,
BUENOS AIRES,Azul,Chillar,6049040,- 0,- 0,- 0,- 0,- 0,1,- 0,565,566,
BUENOS AIRES,Bahía Blanca,Bahía Blanca,6056010,4.690,102.727,402,8.306,463,7,- 0,2.824,119.419,
BUENOS AIRES,Bahía Blanca,Cabildo,6056020,- 0,193,4,6,5,- 0,- 0,153,361,
BUENOS AIRES,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),6056030,373,1.440,1,- 0,- 0,- 0,- 0,20,1.834,
BUENOS AIRES,Bahía Blanca,Ingeniero White,6056020,- 0,- 0,- 0,1,- 0,3,- 0,- 0,4,
BUENOS AIRES,Balcarce,Balcarce,6063010,1.503,10.838,38,37,47,- 0,- 0,883,13.346,
BUENOS AIRES,Balcarce,Los Pinos,6063020,- 0,- 0,- 0,- 0,9,- 0,- 0,30,39,
BUENOS AIRES,Balcarce,Napaleofú,6063030,- 0,- 0,- 0,15,- 0,- 0,- 0,50,65,
BUENOS AIRES,Balcarce,Ramos Otero,6063040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,8,8,
BUENOS AIRES,Balcarce,San Agustín,6063050,- 0,- 0,- 0,- 0,3,- 0,- 0,72,75,
BUENOS AIRES,Balcarce,Villa Laguna La Brava,6063060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,34,34,
BUENOS AIRES,Baradero,Baradero,6070010,2.010,6.683,- 0,3,- 0,1,- 0,809,9.506,
BUENOS AIRES,Baradero,Villa Alsina  (Est. Alsina),6070040,127,- 0,- 0,- 0,- 0,- 0,- 0,150,277,
BUENOS AIRES,Baradero,Irineo Portela,6070020,- 0,- 0,- 0,1,- 0,- 0,- 0,76,77,
BUENOS AIRES,Baradero,Santa Coloma,6070030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,53,53,
BUENOS AIRES,Benito Juárez,Barker,6084010,- 0,- 0,1,10,- 0,2,- 0,70,83,
BUENOS AIRES,Benito Juárez,Benito Juárez  (Est. Juárez),6084020,782,- 0,20,563,4,1,- 0,147,1.517,
BUENOS AIRES,Benito Juárez,López,6084030,- 0,- 0,- 0,4,- 0,- 0,- 0,12,16,
BUENOS AIRES,Benito Juárez,Villa Cacique  (Est. Alfredo Fortabat),6084050,- 0,- 0,- 0,20,- 0,1,- 0,100,121,
BUENOS AIRES,Berazategui,Berazategui,6091010,1.620,18.567,42,23.446,57,4,- 0,49,43.785,
BUENOS AIRES,Berazategui,Berazategui Oeste,6091010,16,78,- 0,14.593,- 0,- 0,- 0,- 0,14.687,
BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,6091010,17,1.511,- 0,1.498,- 0,- 0,- 0,- 0,3.026,
BUENOS AIRES,Berazategui,Centro Agrícola El Pato,6091010,2.037,881,- 0,- 0,- 0,- 0,- 0,16,2.934,
BUENOS AIRES,Berazategui,Guillermo E. Hudson,6091010,137,6.851,2,8.513,3,- 0,- 0,- 0,15.506,
BUENOS AIRES,Berazategui,Juan María Gutierrez,6091010,501,2.348,4,2.860,- 0,- 0,- 0,44,5.757,
BUENOS AIRES,Berazategui,Pereyra,6091010,9,234,1,310,- 0,- 0,- 0,- 0,554,
BUENOS AIRES,Berazategui,Plátanos,6091010,- 0,1.813,- 0,2.043,1,- 0,- 0,- 0,3.857,
BUENOS AIRES,Berazategui,Ranelagh,6091010,39,2.988,13,7.236,- 0,1,- 0,- 0,10.277,
BUENOS AIRES,Berazategui,Villa España,6091010,2,1.324,- 0,1.920,- 0,- 0,- 0,- 0,3.246,
BUENOS AIRES,Berisso,Berisso,6098010,4.198,12.345,23,6.202,29,- 0,- 0,368,23.165,
BUENOS AIRES,Berisso,Villa Nueva,6098010,- 0,- 0,- 0,132,- 0,- 0,- 0,250,382,
BUENOS AIRES,Berisso,Barrio El Carmen (Este),6098010,- 0,- 0,- 0,132,- 0,- 0,- 0,250,382,
BUENOS AIRES,Berisso,Villa Arguello,6098010,- 0,- 0,- 0,132,- 0,- 0,- 0,250,382,
BUENOS AIRES,Berisso,Villa Progreso,6098010,- 0,- 0,- 0,132,- 0,- 0,- 0,250,382,
BUENOS AIRES,Bolívar,OTROS,Sin Datos,- 0,1,- 0,1,- 0,- 0,- 0,- 0,2,
BUENOS AIRES,Bolívar,Pirovano,6105050,- 0,- 0,- 0,- 0,50,- 0,- 0,45,95,
BUENOS AIRES,Bolívar,San Carlos de Bolívar  (Est. Bolívar),6105060,963,5.019,2,- 0,- 0,- 0,- 0,255,6.239,
BUENOS AIRES,Bolívar,Urdampilleta,6105070,- 0,- 0,6,2,6,- 0,- 0,71,85,
BUENOS AIRES,Bolívar,Paula,6105040,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
BUENOS AIRES,Bolívar,Hale,6105010,10,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10,
BUENOS AIRES,Bragado,Bragado,6112010,674,4.253,10,3,- 0,- 0,- 0,210,5.150,
BUENOS AIRES,Bragado,General O'Brien,6112030,321,- 0,- 0,83,- 0,- 0,- 0,31,435,
BUENOS AIRES,Bragado,Irala,6112040,- 0,3,- 0,- 0,- 0,- 0,- 0,22,25,
BUENOS AIRES,Bragado,Mechita (Est. Mecha),6112070,10,12,- 0,- 0,- 0,- 0,- 0,12,34,
BUENOS AIRES,Bragado,Warnes,6112090,135,- 0,- 0,- 0,9,- 0,- 0,7,151,
BUENOS AIRES,Bragado,Comodoro Py,6112020,- 0,- 0,- 0,220,- 0,- 0,- 0,2,222,
BUENOS AIRES,Bragado,Olascoaga,6112080,- 0,- 0,- 0,- 0,- 0,- 0,- 0,40,40,
BUENOS AIRES,Brandsen,Coronel Brandsen,6119050,1.805,5,- 0,1.466,2,- 0,- 0,1.135,4.413,
BUENOS AIRES,Brandsen,Jeppener,6119070,676,- 0,- 0,2,- 0,- 0,- 0,- 0,678,
BUENOS AIRES,Campana,Campana,6126030,2.491,17.262,1,8.650,18,3,- 0,43,28.468,
BUENOS AIRES,Campana,Lomas del Río Luján (Est. Río Luján),6126040,- 0,44,- 0,- 0,- 0,- 0,- 0,- 0,44,
BUENOS AIRES,Campana,Alto Los Cardales,6126010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,41,41,
BUENOS AIRES,Campana,Barrio Los Pioneros,6126020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,40,40,
BUENOS AIRES,Campana,Chacras Del Río Luján,6126035,- 0,- 0,- 0,- 0,- 0,- 0,- 0,35,35,
BUENOS AIRES,Cañuelas,Alejandro Petión,6134010,206,813,7,- 0,- 0,- 0,- 0,42,1.068,
BUENOS AIRES,Cañuelas,Barrio El Taladro,6134020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5,
BUENOS AIRES,Cañuelas,Cañuelas,6134030,1.228,5.341,33,2.259,- 0,1,- 0,526,9.388,
BUENOS AIRES,Cañuelas,Máximo Paz,6134050,- 0,2.282,- 0,2,- 0,- 0,- 0,270,2.554,
BUENOS AIRES,Cañuelas,Santa Rosa,6134060,- 0,- 0,- 0,- 0,- 0,2,- 0,233,235,
BUENOS AIRES,Cañuelas,Uribelarrea,6134070,60,- 0,- 0,403,- 0,- 0,- 0,20,483,
BUENOS AIRES,Cañuelas,Vicente Casares,6134080,228,- 0,2,- 0,- 0,- 0,- 0,25,255,
BUENOS AIRES,Cañuelas,Barrio Belgrano-Máximo Paz,6134030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,48,48,
BUENOS AIRES,Cañuelas,Gobernador Udaondo,6134040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,20,20,
BUENOS AIRES,Capitán Sarmiento,Capitán Sarmiento,6140010,180,3.989,- 0,- 0,- 0,- 0,- 0,89,4.258,
BUENOS AIRES,Capitán Sarmiento,La Luisa,6140020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,44,44,
BUENOS AIRES,Carlos Casares,Cadret,6147020,- 0,- 0,- 0,- 0,1,- 0,- 0,48,49,
BUENOS AIRES,Carlos Casares,Carlos Casares,6147030,1.425,8,8,1.320,- 0,- 0,- 0,2.461,5.222,
BUENOS AIRES,Carlos Casares,La Sofía,6147060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,1,
BUENOS AIRES,Carlos Casares,Moctezuma,6147080,- 0,- 0,- 0,- 0,- 0,- 0,- 0,152,152,
BUENOS AIRES,Carlos Casares,Santo Tomás,6147095,- 0,- 0,- 0,- 0,- 0,- 0,- 0,44,44,
BUENOS AIRES,Carlos Casares,Smith,6147100,- 0,- 0,- 0,- 0,- 0,- 0,- 0,191,191,
BUENOS AIRES,Carlos Casares,Mauricio Hirsch,6147070,- 0,- 0,- 0,- 0,- 0,- 0,- 0,47,47,
BUENOS AIRES,Carlos Casares,Bellocq,6147010,- 0,- 0,1,- 0,- 0,- 0,- 0,- 0,1,
BUENOS AIRES,Carlos Tejedor,Carlos Tejedor,6154010,15,476,1,68,- 0,- 0,- 0,1.188,1.748,
BUENOS AIRES,Carlos Tejedor,Colonia Seré,6154020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,81,81,
BUENOS AIRES,Carlos Tejedor,Tres Algarrobos  (Est. Cuenca),6154050,- 0,- 0,- 0,- 0,- 0,1,- 0,198,199,
BUENOS AIRES,Carlos Tejedor,Curarú,6154030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,16,16,
BUENOS AIRES,Carlos Tejedor,Timote,6154040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,61,61,
BUENOS AIRES,Carmen de Areco,Carmen de Areco,6161010,388,1.667,5,- 0,1,- 0,- 0,905,2.966,
BUENOS AIRES,Carmen de Areco,Pueblo Gouin,6161020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,31,31,
BUENOS AIRES,Carmen de Areco,Tres Sargentos,6161030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,107,107,
BUENOS AIRES,Castelli,Castelli,6168010,67,1.109,- 0,1.121,- 0,2,- 0,28,2.327,
BUENOS AIRES,Castelli,Centro Guerrero,6168020,- 0,- 0,- 0,46,- 0,- 0,- 0,3,49,
BUENOS AIRES,Castelli,Cerro De La Gloria,6168030,- 0,- 0,- 0,7,- 0,- 0,- 0,- 0,7,
BUENOS AIRES,Chacabuco,Castilla,6210010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,274,274,
BUENOS AIRES,Chacabuco,Chacabuco,6210020,925,9.803,16,14,16,- 0,- 0,2,10.776,
BUENOS AIRES,Chacabuco,O'Higgins,6210040,54,95,- 0,- 0,- 0,- 0,- 0,12,161,
BUENOS AIRES,Chacabuco,Rawson,6210050,73,- 0,- 0,303,28,- 0,- 0,128,532,
BUENOS AIRES,Chascomús,Chascomús,6217010,2.159,7.390,85,1.159,85,1,- 0,- 0,10.879,
BUENOS AIRES,Chascomús,Manuel J. Cobo  (Est. Lezama),6217020,104,1.718,- 0,- 0,- 0,- 0,444,- 0,2.266,
BUENOS AIRES,Chascomús,Barrio San Cayetano,6217020,- 0,- 0,- 0,132,- 0,- 0,- 0,- 0,132,
BUENOS AIRES,Chivilcoy,Chivilcoy,6224010,2.628,9.096,119,613,119,1,- 0,3.172,15.748,
BUENOS AIRES,Chivilcoy,La Rica,6224040,39,- 0,- 0,- 0,- 0,- 0,- 0,97,136,
BUENOS AIRES,Chivilcoy,Moquehuá,6224050,- 0,338,- 0,546,- 0,- 0,- 0,29,913,
BUENOS AIRES,Chivilcoy,Ramón Biaus,6224060,3,- 0,- 0,- 0,- 0,- 0,- 0,47,50,
BUENOS AIRES,Chivilcoy,San Sebastián,6224070,3,- 0,- 0,- 0,- 0,- 0,- 0,49,52,
BUENOS AIRES,Chivilcoy,Gorostiaga,6224030,55,- 0,- 0,- 0,- 0,- 0,- 0,2,57,
BUENOS AIRES,Colón,Colón,6175010,4.143,1.538,- 0,1.794,- 0,- 0,- 0,20,7.495,
BUENOS AIRES,Colón,Sarasa,6175040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,15,15,
BUENOS AIRES,Coronel de Marina L. Rosales,Balneario Pehuen Co,6182020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
BUENOS AIRES,Coronel de Marina L. Rosales,Punta Alta  (Est Almirante Solier),6182030,852,20.207,48,5,- 0,6,- 0,- 0,21.118,
BUENOS AIRES,Coronel de Marina L. Rosales,Villa General Arias  (Est. Kilómetro 638),6182050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10,10,
BUENOS AIRES,Coronel de Marina L. Rosales,Pago Chico,6182025,- 0,- 0,- 0,- 0,- 0,- 0,- 0,62,62,
BUENOS AIRES,Coronel de Marina L. Rosales,Bajo Hondo,6182010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,74,74,
BUENOS AIRES,Coronel Dorrego,Coronel Dorrego,6189030,228,1.127,3,1,- 0,- 0,- 0,32,1.391,
BUENOS AIRES,Coronel Dorrego,El Perdido  (Est. José A. Guisasola),6189040,- 0,- 0,- 0,32,- 0,- 0,- 0,5,37,
BUENOS AIRES,Coronel Dorrego,Oriente,6189070,- 0,- 0,- 0,586,- 0,- 0,- 0,48,634,
BUENOS AIRES,Coronel Dorrego,Balneario Marisol,6189020,- 0,- 0,- 0,342,- 0,- 0,- 0,- 0,342,
BUENOS AIRES,Coronel Pringles,Coronel Pringles  (Est. Pringles),6196010,649,2.056,3,5,- 0,- 0,- 0,171,2.884,
BUENOS AIRES,Coronel Pringles,Indio Rico,6196040,- 0,- 0,1,24,- 0,- 0,- 0,3,28,
BUENOS AIRES,Coronel Suárez,Coronel Suárez,6203020,817,2.390,88,1.609,88,- 0,- 0,785,5.777,
BUENOS AIRES,Coronel Suárez,Huanguelén,6203050,- 0,- 0,1,1.384,- 0,- 0,- 0,527,1.912,
BUENOS AIRES,Coronel Suárez,Pasman,6203060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,48,48,
BUENOS AIRES,Coronel Suárez,San José,6203070,- 0,42,- 0,706,- 0,- 0,- 0,- 0,748,
BUENOS AIRES,Coronel Suárez,Santa María,6203080,- 0,19,- 0,465,- 0,- 0,- 0,- 0,484,
BUENOS AIRES,Coronel Suárez,Santa Trinidad,6203090,- 0,70,- 0,550,- 0,- 0,- 0,- 0,620,
BUENOS AIRES,Coronel Suárez,Villa La Arcadia,6203100,- 0,104,- 0,72,- 0,- 0,- 0,- 0,176,
BUENOS AIRES,Daireaux,Daireaux,6231030,281,- 0,- 0,- 0,194,50,- 0,339,864,
BUENOS AIRES,Daireaux,Salazar,6231060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,79,79,
BUENOS AIRES,Dolores,Dolores,6238010,1.575,10.172,1,7,- 0,- 0,325,- 0,12.080,
BUENOS AIRES,Dolores,Sevigne,6238020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,1,
BUENOS AIRES,Ensenada,Ensenada,6245010,1.534,10.680,17,2.923,6,- 0,- 0,2.092,17.252,
BUENOS AIRES,Ensenada,Villa Catela,6245010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,7,7,
BUENOS AIRES,Escobar,Belen de Escobar,6252010,3.280,17.092,21,7.943,333,1,- 0,97,28.767,
BUENOS AIRES,Escobar,El cazador,6252010,- 0,936,- 0,2.226,- 0,- 0,- 0,- 0,3.162,
BUENOS AIRES,Escobar,Garín,6252010,4.798,9.309,3,3.157,2,1,- 0,11,17.281,
BUENOS AIRES,Escobar,Ingeniero Maschwitz,6252010,1.272,4.169,3,2.772,1,- 0,- 0,300,8.517,
BUENOS AIRES,Escobar,Loma Verde,6252010,- 0,- 0,- 0,961,- 0,- 0,- 0,- 0,961,
BUENOS AIRES,Escobar,Maquinista F. Savio (este),6252010,628,4.229,- 0,13,2,- 0,- 0,14,4.886,
BUENOS AIRES,Escobar,Matheu,6252010,1.540,2.388,2,1,3,1,- 0,58,3.993,
BUENOS AIRES,Esteban Echeverría,9 De Abril,6260010,237,6.217,6,12,1,- 0,- 0,153,6.626,
BUENOS AIRES,Esteban Echeverría,Canning,6260010,3,3.474,- 0,1.049,1,- 0,- 0,98,4.625,
BUENOS AIRES,Esteban Echeverría,El Jagüel,6260010,- 0,6.778,- 0,5,2,1,- 0,89,6.875,
BUENOS AIRES,Esteban Echeverría,Luis Guillón,6260010,4,7.194,2,1.757,1,- 0,- 0,77,9.035,
BUENOS AIRES,Esteban Echeverría,Monte Grande,6260010,211,27.394,61,24.799,70,4,- 0,312,52.851,
BUENOS AIRES,Esteban Echeverría,Zona Aeropuerto Internacional Ezeiza,6260010,2,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2,
BUENOS AIRES,Exaltación de la Cruz,Arroyo de la Cruz,6266010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,92,92,
BUENOS AIRES,Exaltación de la Cruz,Capilla del Señor  (Est. Capilla),6266020,359,- 0,6,82,- 0,- 0,- 0,- 0,447,
BUENOS AIRES,Exaltación de la Cruz,Los Cardales,6266040,2,7.166,2,- 0,- 0,1,- 0,- 0,7.171,
BUENOS AIRES,Exaltación de la Cruz,OTROS,Sin Datos,- 0,- 0,- 0,- 0,- 0,- 0,- 0,84,84,
BUENOS AIRES,Exaltación de la Cruz,Parada Orlando,6266050,- 0,- 0,- 0,- 0,- 0,1,- 0,30,31,
BUENOS AIRES,Exaltación de la Cruz,Parada Robles - Pavón,6266060,2.709,- 0,- 0,235,- 0,- 0,- 0,- 0,2.944,
BUENOS AIRES,Ezeiza,Aeropuerto Internacional Ezeiza,6270010,221,- 0,3,4,- 0,1,- 0,- 0,229,
BUENOS AIRES,Ezeiza,Canning,6270010,194,1.668,1,1.014,1,- 0,- 0,41,2.919,
BUENOS AIRES,Ezeiza,Carlos Spegazzini,6270010,343,5.166,2,1.353,164,1,- 0,1,7.030,
BUENOS AIRES,Ezeiza,José Maria Ezeiza,6270010,540,13.460,13,4.959,- 0,2,- 0,90,19.064,
BUENOS AIRES,Ezeiza,La Unión,6270010,107,8.653,1,908,- 0,2,- 0,- 0,9.671,
BUENOS AIRES,Ezeiza,OTROS,Sin Datos,3,1,- 0,5,- 0,- 0,- 0,- 0,9,
BUENOS AIRES,Ezeiza,Tristán Suarez,6270010,571,9.955,5,1.048,18,- 0,- 0,4,11.601,
BUENOS AIRES,Florencio Varela,Bosques,6274010,35,7.643,3,3.209,13,- 0,- 0,266,11.169,
BUENOS AIRES,Florencio Varela,Estanislao Severo Zeballos,6274010,7,2.611,4,3.607,- 0,- 0,- 0,- 0,6.229,
BUENOS AIRES,Florencio Varela,Florencio Varela,6274010,661,18.839,30,22.108,263,3,- 0,810,42.714,
BUENOS AIRES,Florencio Varela,Gobernador Julio A. Costa,6274010,13,7.659,6,414,- 0,- 0,- 0,- 0,8.092,
BUENOS AIRES,Florencio Varela,Ingeniero Juan Allan,6274010,2.505,4.836,- 0,907,- 0,- 0,- 0,- 0,8.248,
BUENOS AIRES,Florencio Varela,La Capilla,6274010,- 0,- 0,- 0,4,- 0,- 0,- 0,- 0,4,
BUENOS AIRES,Florencio Varela,la rotonda,6274010,357,- 0,- 0,- 0,- 0,- 0,- 0,- 0,357,
BUENOS AIRES,Florencio Varela,Villa Brown,6274010,- 0,83,- 0,253,- 0,- 0,- 0,- 0,336,
BUENOS AIRES,Florencio Varela,Villa San Luis,6274010,- 0,330,- 0,- 0,- 0,- 0,- 0,- 0,330,
BUENOS AIRES,Florencio Varela,Villa Santa Rosa,6274010,31,4.031,1,226,- 0,- 0,- 0,- 0,4.289,
BUENOS AIRES,Florencio Varela,Villa Vatteone,6274010,12,4.709,1,1.810,- 0,- 0,- 0,- 0,6.532,
BUENOS AIRES,Florentino Ameghino,Blaquier,6277010,- 0,- 0,- 0,- 0,- 0,1,- 0,5,6,
BUENOS AIRES,Florentino Ameghino,Florentino Ameghino,6277020,129,- 0,- 0,297,- 0,- 0,- 0,- 0,426,
BUENOS AIRES,Florentino Ameghino,Porvenir,6277030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2,2,
BUENOS AIRES,General Alvarado,Comandante Nicanor Otamendi,6280010,- 0,- 0,3,930,- 0,1,- 0,31,965,
BUENOS AIRES,General Alvarado,Mar del Sur,6280020,- 0,- 0,2,- 0,- 0,- 0,- 0,142,144,
BUENOS AIRES,General Alvarado,Mechongué,6280030,256,- 0,- 0,- 0,- 0,- 0,- 0,3,259,
BUENOS AIRES,General Alvarado,Miramar,6280040,4.888,1.559,74,1,76,1,- 0,957,7.556,
BUENOS AIRES,General Alvarado,Centinela Del Mar,6280005,- 0,- 0,- 0,- 0,- 0,1,- 0,1,2,
BUENOS AIRES,General Arenales,Arribeños,6294010,305,301,1,144,15,- 0,- 0,261,1.027,
BUENOS AIRES,General Arenales,Ascensión,6294020,1.200,505,- 0,- 0,250,- 0,- 0,139,2.094,
BUENOS AIRES,General Arenales,Ferré,6294040,- 0,152,- 0,282,- 0,- 0,- 0,441,875,
BUENOS AIRES,General Arenales,General Arenales,6294050,- 0,883,1,99,- 0,- 0,- 0,512,1.495,
