Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general, 
BUENOS AIRES,Quilmes,Don Bosco,6658010,- 0,2.955,- 0,4,1,- 0,- 0,- 0,2.960,
BUENOS AIRES,Quilmes,Ezpeleta,6658010,112,13.745,8,2.549,16,- 0,- 0,319,16.749,
BUENOS AIRES,Quilmes,Ezpeleta Oeste,6658010,48,1.521,8,3.944,16,- 0,- 0,- 0,5.537,
BUENOS AIRES,Quilmes,Quilmes,6658010,89,47.932,78,12.340,172,2,- 0,141,60.754,
BUENOS AIRES,Quilmes,Quilmes Oeste,6658010,113,7.623,48,13.746,40,- 0,- 0,2,21.572,
BUENOS AIRES,Quilmes,San Francisco Solano,6658010,1,10.909,- 0,39,30,- 0,- 0,114,11.093,
BUENOS AIRES,Quilmes,Villa La Florida,6658010,22,4.929,5,6.909,- 0,- 0,- 0,114,11.979,
BUENOS AIRES,Ramallo,EL PARAÍSO,6665010,- 0,- 0,- 0,- 0,30,- 0,- 0,- 0,30,
BUENOS AIRES,Ramallo,OTROS,Sin Datos,- 0,- 0,- 0,- 0,10,- 0,- 0,- 0,10,
BUENOS AIRES,Ramallo,Pérez Millán,6665030,- 0,- 0,- 0,1,- 0,- 0,- 0,- 0,1,
BUENOS AIRES,Ramallo,RAMALLO,6665040,428,1.119,- 0,1,1.177,1,- 0,2,2.728,
BUENOS AIRES,Ramallo,VILLA RAMALLO,6665060,536,1.858,- 0,- 0,327,- 0,- 0,- 0,2.721,
BUENOS AIRES,Rauch,OTROS,Sin Datos,- 0,- 0,- 0,- 0,- 0,- 0,- 0,15,15,
BUENOS AIRES,Rauch,Rauch,6672010,1.001,- 0,8,514,- 0,1,- 0,93,1.617,
BUENOS AIRES,Rivadavia,América,6679010,577,928,- 0,1.188,1,1,- 0,809,3.504,
BUENOS AIRES,Rivadavia,Fortín Olavarría,6679020,272,- 0,- 0,187,- 0,- 0,- 0,- 0,459,
BUENOS AIRES,Rivadavia,González Moreno,6679030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,1,
BUENOS AIRES,Rivadavia,Sansinena,6679070,- 0,- 0,- 0,168,- 0,- 0,- 0,175,343,
BUENOS AIRES,Rojas,Las Carabelas,6686020,- 0,- 0,- 0,195,- 0,1,- 0,47,243,
BUENOS AIRES,Rojas,Rojas,6686060,595,3.441,2,1.160,- 0,- 0,- 0,1.479,6.677,
BUENOS AIRES,Rojas,Rafael Obligado,6686040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,26,26,
BUENOS AIRES,Roque Pérez,Carlos Beguerie,6693010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,116,116,
BUENOS AIRES,Roque Pérez,Roque Pérez,6693020,191,1.931,1,- 0,- 0,- 0,- 0,345,2.468,
BUENOS AIRES,Saavedra,Espartillar,6700040,- 0,- 0,- 0,314,- 0,- 0,- 0,79,393,
BUENOS AIRES,Saavedra,Pigüé,6700060,859,- 0,3,3.031,- 0,- 0,- 0,- 0,3.893,
BUENOS AIRES,Saavedra,Saavedra,6700070,- 0,- 0,- 0,9,- 0,- 0,- 0,23,32,
BUENOS AIRES,Saavedra,Goyena,6700050,- 0,- 0,- 0,44,- 0,- 0,- 0,- 0,44,
BUENOS AIRES,Saavedra,Arroyo Corto,6700010,- 0,- 0,- 0,259,- 0,- 0,- 0,- 0,259,
BUENOS AIRES,Saladillo,Del Carril,6707040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2,2,
BUENOS AIRES,Saladillo,Saladillo,6707060,664,4.646,- 0,3.575,1,- 0,- 0,418,9.304,
BUENOS AIRES,Saladillo,Cazón,6707030,- 0,- 0,- 0,38,- 0,- 0,- 0,- 0,38,
BUENOS AIRES,Saladillo,Alvarez de Toledo,6707010,- 0,- 0,- 0,25,- 0,1,- 0,- 0,26,
BUENOS AIRES,Salliqueló,Quenumá,6721010,- 0,- 0,- 0,- 0,36,- 0,- 0,- 0,36,
BUENOS AIRES,Salliqueló,Salliqueló,6721020,151,- 0,3,- 0,- 0,2,- 0,- 0,156,
BUENOS AIRES,Salto,Arroyo Dulce,6714010,438,- 0,- 0,51,- 0,- 0,- 0,37,526,
BUENOS AIRES,Salto,Gahan,6714030,181,- 0,- 0,- 0,- 0,- 0,- 0,- 0,181,
BUENOS AIRES,Salto,Inés Indart,6714040,- 0,- 0,- 0,15,189,2,- 0,- 0,206,
BUENOS AIRES,Salto,Salto,6714060,931,1.325,1,7.636,- 0,- 0,- 0,- 0,9.893,
BUENOS AIRES,San Andrés de Giles,Azcuénaga,6728010,- 0,- 0,- 0,55,7,- 0,- 0,54,116,
BUENOS AIRES,San Andrés de Giles,San Andrés de Giles,6728040,470,663,1,3.718,486,1,- 0,- 0,5.339,
BUENOS AIRES,San Andrés de Giles,Solís,6728050,46,- 0,- 0,261,- 0,1,- 0,107,415,
BUENOS AIRES,San Andrés de Giles,Villa Ruiz,6728070,- 0,- 0,- 0,140,- 0,- 0,- 0,86,226,
BUENOS AIRES,San Andrés de Giles,Villa Espil,6728060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,104,104,
BUENOS AIRES,San Andrés de Giles,Cucullú,6728020,- 0,- 0,- 0,- 0,218,- 0,- 0,24,242,
BUENOS AIRES,San Antonio de Areco,San Antonio de Areco,6735020,1.189,1.771,5,2.578,- 0,2,- 0,2.223,7.768,
BUENOS AIRES,San Antonio de Areco,Villa Lía,6735030,190,- 0,- 0,245,- 0,- 0,- 0,56,491,
BUENOS AIRES,San Antonio de Areco,Duggan,6735010,- 0,- 0,- 0,231,- 0,- 0,- 0,278,509,
BUENOS AIRES,San Cayetano,Balneario San Cayetano,6742010,- 0,- 0,- 0,113,- 0,- 0,- 0,1,114,
BUENOS AIRES,San Cayetano,San Cayetano,6742030,146,984,- 0,902,- 0,- 0,- 0,268,2.300,
BUENOS AIRES,San Cayetano,Ochandío,6742020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,15,15,
BUENOS AIRES,San Fernando,San Fernando,6749010,3.621,17.279,2,6.180,13,- 0,- 0,109,27.204,
BUENOS AIRES,San Fernando,Victoria,6749010,1.848,12.555,2,913,6,2,- 0,1,15.327,
BUENOS AIRES,San Fernando,Virreyes,6749010,854,8.114,- 0,1.538,1,- 0,- 0,- 0,10.507,
BUENOS AIRES,San Isidro,Acassuso,6756010,319,5.406,1,96,1,1,- 0,- 0,5.824,
BUENOS AIRES,San Isidro,Beccar,6756010,2.538,15.794,- 0,295,4,- 0,- 0,80,18.711,
BUENOS AIRES,San Isidro,Boulogne Sur Mer,6756010,2.137,20.170,4,645,13,- 0,- 0,4,22.973,
BUENOS AIRES,San Isidro,Martínez,6756010,2.205,25.023,52,2.618,60,1,- 0,1,29.960,
BUENOS AIRES,San Isidro,San Isidro,6756010,1.212,21.058,3,114,16,1,- 0,1,22.405,
BUENOS AIRES,San Isidro,Villa Adelina,6756010,1.084,11.079,- 0,440,7,- 0,- 0,- 0,12.610,
BUENOS AIRES,San Miguel,Bella Vista,6760010,94,3.426,39,7.924,49,2,- 0,1.201,12.735,
BUENOS AIRES,San Miguel,Campo De Mayo,6760010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
BUENOS AIRES,San Miguel,Muñiz,6760010,246,3.092,5,1.867,- 0,- 0,- 0,- 0,5.210,
BUENOS AIRES,San Miguel,San Miguel,6760010,462,79.845,62,26.854,108,2,- 0,121,107.454,
BUENOS AIRES,San Nicolás,Conesa,6763010,670,- 0,- 0,- 0,- 0,1,- 0,- 0,671,
BUENOS AIRES,San Nicolás,Erézcano,6763020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,108,108,
BUENOS AIRES,San Nicolás,General Rojo,6763030,- 0,- 0,- 0,608,- 0,1,- 0,- 0,609,
BUENOS AIRES,San Nicolás,San Nicolás de los Arroyos,6763050,9.740,17.641,2,5.129,- 0,2,- 0,52,32.566,
BUENOS AIRES,San Pedro,Río Tala,6770040,- 0,- 0,- 0,2,237,- 0,- 0,- 0,239,
BUENOS AIRES,San Pedro,San Pedro,6770050,3.007,4.736,- 0,6.907,78,3,- 0,78,14.809,
BUENOS AIRES,San Pedro,Santa Lucía,6770060,- 0,- 0,- 0,3,- 0,2,- 0,- 0,5,
BUENOS AIRES,San Vicente,Alejandro Korn,6778020,110,3.575,4,6.150,9,- 0,- 0,332,10.180,
BUENOS AIRES,San Vicente,Domselaar,6778020,- 0,430,- 0,- 0,- 0,- 0,- 0,52,482,
BUENOS AIRES,San Vicente,San Vicente,6778020,1.127,3.811,4,484,5,- 0,- 0,217,5.648,
BUENOS AIRES,Suipacha,General Rivas,6784010,96,- 0,- 0,- 0,- 0,- 0,- 0,114,210,
BUENOS AIRES,Suipacha,Suipacha,6784020,273,- 0,2,2.807,- 0,- 0,- 0,283,3.365,
BUENOS AIRES,Tandil,De la Canal,6791010,- 0,- 0,- 0,- 0,5,- 0,- 0,59,64,
BUENOS AIRES,Tandil,Gardey,6791030,- 0,- 0,- 0,225,35,- 0,- 0,21,281,
BUENOS AIRES,Tandil,María Ignacia  (Est. Vela),6791040,268,- 0,- 0,- 0,- 0,- 0,- 0,25,293,
BUENOS AIRES,Tandil,OTROS,Sin Datos,- 0,- 0,- 0,- 0,45,- 0,- 0,- 0,45,
BUENOS AIRES,Tandil,Tandil,6791050,2.633,37.605,203,2.888,277,3,- 0,737,44.346,
BUENOS AIRES,Tandil,Desvío Aguirre,6791050,- 0,- 0,- 0,10,- 0,- 0,- 0,1,11,
BUENOS AIRES,Tapalqué,Tapalqué,6798020,- 0,- 0,- 0,1,- 0,1,- 0,- 0,2,
BUENOS AIRES,Tigre,Benavídez,6805010,948,9.701,- 0,8.001,- 0,5,- 0,1.590,20.245,
BUENOS AIRES,Tigre,Dique Luján,6805010,49,2.167,- 0,30,- 0,- 0,- 0,85,2.331,
BUENOS AIRES,Tigre,Don Torcuato Este,6805010,1.769,14.007,3,8.762,6,- 0,- 0,23,24.570,
BUENOS AIRES,Tigre,El Talar,6805010,650,8.273,- 0,5.460,2,1,- 0,80,14.466,
BUENOS AIRES,Tigre,General Pacheco,6805010,2.335,12.331,1,2.729,7,2,- 0,2,17.407,
BUENOS AIRES,Tigre,Los Troncos Del Talar,6805010,767,7.135,- 0,2.236,- 0,1,- 0,- 0,10.139,
BUENOS AIRES,Tigre,OTROS,Sin Datos,- 0,- 0,- 0,2,- 0,- 0,- 0,- 0,2,
BUENOS AIRES,Tigre,Ricardo Rojas,6805010,1.096,4.161,- 0,1.404,6,- 0,- 0,- 0,6.667,
BUENOS AIRES,Tigre,Rincón de Milberg,6805010,2.226,8.794,- 0,1.371,- 0,- 0,- 0,45,12.436,
BUENOS AIRES,Tigre,Tigre,6805010,1.013,12.535,- 0,4.241,6,5,- 0,175,17.975,
BUENOS AIRES,Tigre,Don Torcuato Oeste,6805010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,186,186,
BUENOS AIRES,Tigre,Nordelta,6805010,- 0,6.121,- 0,2.027,- 0,- 0,- 0,- 0,8.148,
BUENOS AIRES,Tordillo,General Conesa,6812010,40,227,- 0,- 0,- 0,- 0,- 0,63,330,
BUENOS AIRES,Tordillo,Villa Roch,6812010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,11,11,
BUENOS AIRES,Tornquist,Saldungaray,6819020,- 0,- 0,- 0,466,- 0,- 0,- 0,- 0,466,
BUENOS AIRES,Tornquist,Sierra de la Ventana,6819030,- 0,486,- 0,621,- 0,- 0,- 0,- 0,1.107,
BUENOS AIRES,Tornquist,Tornquist,6819040,131,966,- 0,1.461,- 0,1,- 0,- 0,2.559,
BUENOS AIRES,Tornquist,Villa Serrana La Gruta,6819060,- 0,119,- 0,- 0,- 0,- 0,- 0,- 0,119,
BUENOS AIRES,Tornquist,Villa Ventana,6819070,475,- 0,- 0,- 0,- 0,- 0,- 0,- 0,475,
BUENOS AIRES,Trenque Lauquen,30 de Agosto,6826040,- 0,184,- 0,1.380,2.376,- 0,- 0,- 0,3.940,
BUENOS AIRES,Trenque Lauquen,OTROS,Sin Datos,- 0,- 0,- 0,- 0,- 0,4,- 0,- 0,4,
BUENOS AIRES,Trenque Lauquen,Trenque Lauquen,6826050,3.018,9,68,11.304,68,1,- 0,1.241,15.709,
BUENOS AIRES,Trenque Lauquen,Girodias,6826020,47,- 0,- 0,- 0,- 0,- 0,- 0,2,49,
BUENOS AIRES,Trenque Lauquen,La Carreta,6826030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2,2,
BUENOS AIRES,Trenque Lauquen,Trongé,6826060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2,2,
BUENOS AIRES,Trenque Lauquen,Berutti,6826010,- 0,- 0,- 0,275,- 0,- 0,- 0,- 0,275,
BUENOS AIRES,Tres Arroyos,Claromecó,6833020,329,- 0,- 0,595,- 0,1,- 0,734,1.659,
BUENOS AIRES,Tres Arroyos,Copetonas,6833030,- 0,- 0,- 0,1,- 0,- 0,- 0,89,90,
BUENOS AIRES,Tres Arroyos,Lin Calel,6833040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,11,11,
BUENOS AIRES,Tres Arroyos,Micaela Cascallares  (Est. Cascallares),6833050,- 0,- 0,- 0,1,- 0,- 0,- 0,155,156,
BUENOS AIRES,Tres Arroyos,Orense,6833060,- 0,- 0,1,246,407,- 0,- 0,146,800,
BUENOS AIRES,Tres Arroyos,Reta,6833070,- 0,- 0,- 0,- 0,- 0,- 0,- 0,224,224,
BUENOS AIRES,Tres Arroyos,San Francisco de Bellocq,6833080,- 0,- 0,- 0,- 0,- 0,- 0,- 0,120,120,
BUENOS AIRES,Tres Arroyos,San Mayol,6833090,- 0,- 0,- 0,- 0,9,- 0,- 0,11,20,
BUENOS AIRES,Tres Arroyos,Tres Arroyos,6833100,1.352,14.414,61,1.513,61,1,- 0,903,18.305,
BUENOS AIRES,Tres De Febrero,11 De Septiembre,6840010,39,1.086,- 0,5,1,1,- 0,- 0,1.132,
BUENOS AIRES,Tres De Febrero,Caseros,6840010,3.511,22.030,2,8.498,25,- 0,- 0,2,34.068,
BUENOS AIRES,Tres De Febrero,Churruca,6840010,20,785,- 0,1.543,- 0,- 0,- 0,- 0,2.348,
BUENOS AIRES,Tres De Febrero,Ciudad Jardín Lomas del Palomar,6840010,629,5.067,- 0,789,2,- 0,- 0,- 0,6.487,
BUENOS AIRES,Tres De Febrero,Ciudadela,6840010,315,11.466,67,13.964,117,3,- 0,4,25.936,
BUENOS AIRES,Tres De Febrero,El Libertador,6840010,254,2.343,- 0,- 0,- 0,- 0,- 0,- 0,2.597,
BUENOS AIRES,Tres De Febrero,Jose Ingenieros,6840010,164,1.857,- 0,529,3,- 0,- 0,5,2.558,
BUENOS AIRES,Tres De Febrero,Loma Hermosa,6840010,1.470,5.377,- 0,54,18,- 0,- 0,- 0,6.919,
BUENOS AIRES,Tres De Febrero,Martín Coronado,6840010,266,4.825,1,2.517,6,- 0,- 0,- 0,7.615,
BUENOS AIRES,Tres De Febrero,Pablo Podestá,6840010,1.627,3.261,- 0,7,12,- 0,- 0,438,5.345,
BUENOS AIRES,Tres De Febrero,Remedios De Escalada,6840010,197,2.651,- 0,7.320,16,- 0,- 0,- 0,10.184,
BUENOS AIRES,Tres De Febrero,Saenz Peña,6840010,349,4.894,- 0,934,- 0,1,- 0,1,6.179,
BUENOS AIRES,Tres De Febrero,Santos Lugares,6840010,406,5.976,- 0,1.274,8,- 0,- 0,1,7.665,
BUENOS AIRES,Tres De Febrero,Villa Bosch (Est. Juan Maria Bosch),6840010,370,6.938,- 0,5.682,3,- 0,- 0,- 0,12.993,
BUENOS AIRES,Tres De Febrero,Villa Raffo,6840010,156,1.997,- 0,633,3,- 0,- 0,- 0,2.789,
BUENOS AIRES,Tres Lomas,Tres Lomas,6847020,93,724,1,136,319,- 0,- 0,94,1.367,
BUENOS AIRES,Vicente López,Carapachay,6861010,1.101,5.401,1,1.963,2,- 0,- 0,- 0,8.468,
BUENOS AIRES,Vicente López,Florida,6861010,1.587,14.945,2,5.771,6,- 0,- 0,2,22.313,
BUENOS AIRES,Vicente López,Florida Oeste,6861010,339,5.483,- 0,3.032,5,1,- 0,245,9.105,
BUENOS AIRES,Vicente López,La Lucila,6861010,370,4.341,1,1.037,1,- 0,- 0,- 0,5.750,
BUENOS AIRES,Vicente López,Munro,6861010,760,9.184,8,5.396,10,1,- 0,1,15.360,
BUENOS AIRES,Vicente López,Olivos,6861010,1.656,24.799,5,8.446,10,1,- 0,- 0,34.917,
BUENOS AIRES,Vicente López,Vicente López,6861010,374,10.079,3,2.808,17,- 0,- 0,1,13.282,
BUENOS AIRES,Vicente López,Villa Adelina,6861010,- 0,544,- 0,943,- 0,- 0,- 0,- 0,1.487,
BUENOS AIRES,Vicente López,Villa Martelli,6861010,1.042,5.342,1,4.770,3,- 0,- 0,375,11.533,
BUENOS AIRES,Villa Gesell,Villa Gesell,6868020,6.177,- 0,- 0,4.817,54,- 0,- 0,- 0,11.048,
BUENOS AIRES,Villarino,Juan Cousté  (Est. Algarrobo),6875040,- 0,- 0,2,- 0,- 0,- 0,- 0,82,84,
BUENOS AIRES,Villarino,Mayor Buratovich,6875050,129,- 0,- 0,483,- 0,- 0,- 0,- 0,612,
BUENOS AIRES,Villarino,Médanos,6875060,417,375,2,- 0,- 0,- 0,- 0,103,897,
BUENOS AIRES,Villarino,Pedro Luro,6875070,393,582,- 0,1.664,1,- 0,- 0,550,3.190,
BUENOS AIRES,Villarino,Argerich,6875010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,29,29,
BUENOS AIRES,Villarino,Teniente Origone,6875080,- 0,- 0,- 0,- 0,- 0,- 0,- 0,16,16,
BUENOS AIRES,Villarino,Country Los Medanos,6875025,- 0,- 0,- 0,- 0,- 0,- 0,- 0,267,267,
BUENOS AIRES,Zárate,Lima,6882040,1,1.833,- 0,1,- 0,- 0,- 0,- 0,1.835,
BUENOS AIRES,Zárate,Zárate,6882050,3.011,23.623,- 0,78,700,5,- 0,982,28.399,
BUENOS AIRES,AMBA,OTROS,Sin Datos,- 0,- 0,- 0,33,- 0,- 0,- 0,16,49,
CABA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2000010,145.491,1.232.226,2.145,121.506,29.585,61,- 0,5.757,1.536.771,
CATAMARCA,Ambato,El Bolsón,10007030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Ambato,El Rodeo,10007040,- 0,- 0,- 0,- 0,- 0,1,- 0,152,153,
CATAMARCA,Ambato,La Puerta,10007060,- 0,- 0,- 0,- 0,- 0,5,- 0,- 0,5,
CATAMARCA,Ambato,Las Chacritas,10007070,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Ambato,Los Varela,10007110,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Ambato,Los Talas,10007100,- 0,- 0,- 0,- 0,- 0,- 0,- 0,66,66,
CATAMARCA,Ancasti,Ancasti,10014010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Andalgalá,Andalgalá,10021020,854,- 0,- 0,144,1,2,- 0,203,1.204,
CATAMARCA,Andalgalá,Chaquiago,10021030,- 0,- 0,- 0,9,- 0,1,- 0,14,24,
CATAMARCA,Andalgalá,El Potrero,10021070,- 0,- 0,- 0,13,- 0,- 0,- 0,- 0,13,
CATAMARCA,Andalgalá,Aconquija,10021010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Andalgalá,El Alamito,10021050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,20,20,
CATAMARCA,Andalgalá,La Aguada,10021080,- 0,- 0,- 0,11,- 0,- 0,- 0,5,16,
CATAMARCA,Andalgalá,La Mesada,10021010,- 0,- 0,- 0,1,- 0,- 0,- 0,- 0,1,
CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,10028010,- 0,- 0,- 0,- 0,- 0,6,- 0,- 0,6,
CATAMARCA,Belén,Belén,10035020,- 0,- 0,- 0,- 0,- 0,4,- 0,- 0,4,
CATAMARCA,Belén,Hualfín,10035070,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Belén,Londres,10035110,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Belén,El Durazno,10035050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Belén,Las Juntas,10035100,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5,
CATAMARCA,Belén,Puerta de San José,10035140,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Capayán,Capayán,10042030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Capayán,Chumbicha,10042040,157,- 0,- 0,5,- 0,1,- 0,474,637,
CATAMARCA,Capayán,Colonia del Valle,10042050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Capayán,Colonia Nueva Coneta,10042060,- 0,- 0,- 0,10,- 0,1,- 0,9,20,
CATAMARCA,Capayán,Coneta,10042080,- 0,- 0,- 0,10,- 0,1,- 0,- 0,11,
CATAMARCA,Capayán,Huillapima,10042100,- 0,- 0,- 0,5,- 0,2,- 0,9,16,
CATAMARCA,Capayán,Miraflores,10042120,- 0,- 0,- 0,7,- 0,2,- 0,10,19,
CATAMARCA,Capayán,San Martín,10042130,- 0,- 0,- 0,- 0,- 0,7,- 0,- 0,7,
CATAMARCA,Capayán,Los Angeles,10042110,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5,
CATAMARCA,Capital,El Pantanillo,10049020,11,- 0,- 0,- 0,- 0,2,- 0,- 0,13,
CATAMARCA,Capital,San Fernando del Valle de Catamarca,10049030,9.953,9.418,1,36.019,- 0,1,- 0,14,55.406,
CATAMARCA,El Alto,El Alto,10056010,- 0,- 0,- 0,- 0,- 0,1,- 0,28,29,
CATAMARCA,El Alto,Tapso,10056050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,La Paz,Icaño,10070070,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,La Paz,Recreo,10070140,349,12,- 0,1.129,- 0,1,- 0,5,1.496,
CATAMARCA,La Paz,San Antonio,10070150,- 0,- 0,- 0,- 0,- 0,- 0,- 0,26,26,
CATAMARCA,La Paz,Quirós,10070120,- 0,- 0,- 0,- 0,- 0,- 0,- 0,27,27,
CATAMARCA,Paclín,La Merced,10077050,74,- 0,- 0,- 0,- 0,4,- 0,5,83,
CATAMARCA,Paclín,La Viña,10077060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10,10,
CATAMARCA,Paclín,Las Lajas,10077070,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Paclín,San Antonio,10077100,- 0,- 0,- 0,- 0,- 0,1,- 0,7,8,
CATAMARCA,Pomán,Mutquin,10084060,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Pomán,Pomán,10084070,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2,
CATAMARCA,Pomán,San Miguel,10084090,- 0,- 0,- 0,- 0,- 0,- 0,- 0,7,7,
CATAMARCA,Pomán,Saujil,10084100,- 0,- 0,- 0,- 0,- 0,1,- 0,169,170,
CATAMARCA,Pomán,Siján,10084110,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Pomán,Colpes,10084030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,16,16,
CATAMARCA,Santa María,La Loma,10091100,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Santa María,San José,10091140,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Santa María,Santa María,10091150,- 0,- 0,- 0,- 0,2.151,1,- 0,- 0,2.152,
CATAMARCA,Santa Rosa,Alijilán,10098010,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2,
CATAMARCA,Santa Rosa,Bañado de Ovanta,10098020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Santa Rosa,Lavalle,10098040,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Santa Rosa,Los Altos,10098050,- 0,- 0,- 0,- 0,- 0,1,- 0,6,7,
CATAMARCA,Tinogasta,Fiambalá,10105110,- 0,- 0,- 0,8,- 0,1,- 0,7,16,
CATAMARCA,Tinogasta,Tinogasta,10105180,530,- 0,- 0,1.828,- 0,2,- 0,- 0,2.360,
CATAMARCA,Valle Viejo,El Portezuelo,10112010,- 0,- 0,- 0,- 0,- 0,6,- 0,- 0,6,
CATAMARCA,Valle Viejo,San Isidro,10112040,- 0,- 0,- 0,1.757,- 0,- 0,- 0,5,1.762,
CATAMARCA,Valle Viejo,Santa Rosa,10112030,- 0,- 0,- 0,759,- 0,- 0,- 0,5,764,
CATAMARCA,Valle Viejo,Villa Dolores,10112030,- 0,- 0,- 0,103,- 0,- 0,- 0,5,108,
CATAMARCA,Valle Viejo,Sumalao,10112030,- 0,- 0,- 0,1,- 0,- 0,- 0,5,6,
CATAMARCA,Valle Viejo,Polcos,10112030,- 0,- 0,- 0,213,- 0,- 0,- 0,- 0,213,
CATAMARCA,Valle Viejo,Pozo Del Mistol,10112030,- 0,- 0,- 0,18,- 0,- 0,- 0,- 0,18,
CATAMARCA,Valle Viejo,El Bañado,10112030,- 0,- 0,- 0,7,- 0,- 0,- 0,- 0,7,
CATAMARCA,Fray Mamerto Esquiú,San Antonio,10063050,- 0,- 0,- 0,4,- 0,- 0,- 0,- 0,4,
CATAMARCA,Fray Mamerto Esquiú,Villa Las Pirquitas,10063050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Fray Mamerto Esquiú,La Carrera,10063050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Fray Mamerto Esquiú,El Hueco,10063050,- 0,- 0,- 0,26,- 0,- 0,- 0,- 0,26,
CATAMARCA,Fray Mamerto Esquiú,La Falda De San Antonio,10063050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5,
CATAMARCA,Fray Mamerto Esquiú,La Tercena,10063050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5,
CHACO,12 de Octubre,Gancedo,22036010,- 0,- 0,- 0,26,- 0,2,- 0,76,104,
CHACO,12 de Octubre,General Pinedo,22036030,206,- 0,- 0,472,- 0,2,- 0,- 0,680,
CHACO,1º de Mayo,Colonia Benítez,22126020,155,- 0,- 0,11,- 0,1,- 0,2,169,
CHACO,1º de Mayo,Margarita Belén,22126030,396,- 0,- 0,180,- 0,- 0,- 0,77,653,
CHACO,2 de Abril,Hermoso Campo,22039010,- 0,28,- 0,175,- 0,1,- 0,- 0,204,
CHACO,2 de Abril,Itín,22039020,- 0,- 0,- 0,30,478,- 0,- 0,- 0,508,
CHACO,25 de Mayo,Colonia Aborigen,22168010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,46,46,
CHACO,25 de Mayo,Machagai,22168020,393,311,- 0,45,- 0,- 0,- 0,269,1.018,
CHACO,9 de Julio,Las Breñas,22105010,1.349,- 0,- 0,74,- 0,1,- 0,- 0,1.424,
CHACO,Almirante Brown,Concepción del Bermejo,22007010,- 0,- 0,- 0,373,- 0,2,- 0,230,605,
CHACO,Almirante Brown,Los Frentones,22007020,- 0,- 0,- 0,344,- 0,1,- 0,- 0,345,
CHACO,Almirante Brown,Pampa del Infierno,22007030,- 0,- 0,- 0,1.375,- 0,6,- 0,65,1.446,
